nombre;email;rol;comunidad;vivienda;coeficiente;derechoVoto
María Gómez;maría.gómez0@example.com;vecino;Mar y Sal;bajo 1;3;VERDADERO
Antonio Gómez;antonio.gómez1@example.com;vecino;Mar y Sal;bajo 2;3;VERDADERO
Javier Dóaz;javier.dóaz2@example.com;vecino;Mar y Sal;bajo 3;3;VERDADERO
Carlos López;carlos.lópez3@example.com;vecino;Mar y Sal;bajo 4;3;VERDADERO
Javier Martínez;javier.martínez4@example.com;vecino;Mar y Sal;bajo 5;3;VERDADERO
Ana Alvarez;ana.alvarez5@example.com;vecino;Mar y Sal;bajo 6;3;VERDADERO
Laura Moreno;laura.moreno6@example.com;vecino;Mar y Sal;bajo 7;3;VERDADERO
José Gómez;josé.gómez7@example.com;vecino;Mar y Sal;bajo 8;3;VERDADERO
Ana Gómez;ana.gómez8@example.com;vecino;Mar y Sal;bajo 9;3;FALSO
Ana Dóaz;ana.dóaz9@example.com;vecino;Mar y Sal;bajo 10;3;VERDADERO
Ana Sánchez;ana.sánchez10@example.com;vecino;Mar y Sal;1º 1;0,5;VERDADERO
Laura Dóaz;laura.dóaz11@example.com;vecino;Mar y Sal;1º 2;0,5;VERDADERO
Carlos Fernández;carlos.fernández12@example.com;vecino;Mar y Sal;1º 3;0,5;VERDADERO
Lucía Fernández;lucía.fernández13@example.com;vecino;Mar y Sal;1º 4;0,5;VERDADERO
Lucía Alvarez;lucía.alvarez14@example.com;vecino;Mar y Sal;1º 5;0,5;FALSO
María Sánchez;maría.sánchez15@example.com;vecino;Mar y Sal;1º 6;0,5;FALSO
Laura Moreno;laura.moreno16@example.com;vecino;Mar y Sal;1º 7;0,5;VERDADERO
Javier Gómez;javier.gómez17@example.com;vecino;Mar y Sal;1º 8;0,5;VERDADERO
Lucía Sánchez;lucía.sánchez18@example.com;vecino;Mar y Sal;1º 9;0,5;VERDADERO
Carlos Ruiz;carlos.ruiz19@example.com;vecino;Mar y Sal;1º 10;0,5;VERDADERO
Isabel Gómez;isabel.gómez20@example.com;vecino;Mar y Sal;2º 1;0,5;FALSO
Manuel Alvarez;manuel.alvarez21@example.com;vecino;Mar y Sal;2º 2;0,5;FALSO
Antonio Sánchez;antonio.sánchez22@example.com;vecino;Mar y Sal;2º 3;0,5;VERDADERO
Laura Moreno;laura.moreno23@example.com;vecino;Mar y Sal;2º 4;0,5;VERDADERO
Lucía Dáz;lucía.dáz24@example.com;vecino;Mar y Sal;2º 5;0,5;VERDADERO
Antonio Moreno;antonio.moreno25@example.com;vecino;Mar y Sal;2º 6;0,5;VERDADERO
Laura Moreno;laura.moreno26@example.com;vecino;Mar y Sal;2º 7;0,5;VERDADERO
